date,meal,calories,protein,carbs,fat,notes
2026-03-29,Breakfast,349,41.6,16.4,15.2,
2026-03-29,Snack,105,1.3,27,0.4,
2026-03-29,Snack,280,34,28,5,
2026-03-29,Dinner,1100,132,49,40,
2026-03-29,Snack,210,2.6,54,0.8,
2026-03-30,Snack,135,16,6,5,
2026-03-30,Snack,105,1.3,27,0.4,
2026-03-30,Snack,140,17,14,2.5,
2026-03-30,Snack,100,1,19,2.5,
2026-03-30,Snack,280,32,14,12,
2026-03-30,Snack,20,4,1,0,
2026-03-30,Snack,105,1.3,27,0.4,
2026-03-30,snack,130,17,13,3,Built Puff protein bar x1
2026-03-30,dinner,405,48,18,15,3 slices turkey crust pizza
2026-03-30,dinner,215,5,45,1.5,1 cup brown rice
2026-03-30,snack,168,14,8,9,El Paso taco shell, 55g Crown ground turkey, 10g green onion, 3g Saputo parmesan, 10g Penny's pico de gallo
2026-03-30,snack,168,14,8,9,El Paso taco shell #2, 55g Crown ground turkey, 10g green onion, 3g Saputo parmesan, 10g Penny's pico de gallo
2026-03-30,snack,120,30,1,0,Joyburst Protein Soda Max - Rocket Pop flavor
2026-03-30,snack,168,14,8,9,El Paso taco #3, 55g Crown ground turkey, 10g green onion, 3g Saputo parmesan, 10g Penny's pico de gallo
2026-03-30,snack,168,14,8,9,El Paso taco #4, 55g Crown ground turkey, 10g green onion, 3g Saputo parmesan, 10g Penny's pico de gallo
2026-03-31,,105,1.3,27,0.4,
2026-03-31,,130,17,13,4.5,
2026-03-31,,792,148,2,18,
2026-03-31,,60,4,12,0.5,
2026-03-31,,70,4,4,3,
